genres,imdb_score,movie_or_tv,rated,resp_stat,resp_url,rg_score,seasons,title,website,year_end,year_start
"comedy,drama",8,show,18+ (TV-MA),200,https://reelgood.com/show/men-of-a-certain-age-2009,61,2,Men of a Certain Age,HBO Max,2011,2009
"drama,independent,romance",5.7,movie,18+ (R),200,https://reelgood.com/movie/american-son-2008,61,,American Son,HBO Max,,2008
"comedy,drama,romance",6,movie,18+ (R),200,https://reelgood.com/movie/pushing-tin-1999,61,,Pushing Tin,HBO Max,,1999
"comedy,drama,romance",5.7,movie,13+ (PG-13),200,https://reelgood.com/movie/four-christmases-2008,61,,Four Christmases,HBO Max,,2008
"crime,drama,fantasy,mystery,thriller,science-fiction",6.2,movie,13+ (PG-13),200,https://reelgood.com/movie/the-invisible-2007,61,,The Invisible,HBO Max,,2007
"documentary,family",6.8,movie,All (G),200,https://reelgood.com/movie/a-lego-brickumentary-2015,61,,A LEGO Brickumentary,HBO Max,,2014
"mystery,drama,horror,thriller",5.5,movie,18+ (R),200,https://reelgood.com/movie/the-little-stranger-2018,61,,The Little Stranger,HBO Max,,2018
"documentary,drama",7.7,movie,All (G),200,https://reelgood.com/movie/how-to-dance-in-ohio-2015,61,,How to Dance in Ohio,HBO Max,,2015
"animation,family,action-and-adventure,comedy,fantasy,science-fiction",7.8,show,7+ (TV-PG),200,https://reelgood.com/show/the-marvelous-misadventures-of-flapjack-2008,61,3,The Marvelous Misadventures of Flapjack,HBO Max,2010,2008
"comedy,independent,crime,drama",6.5,movie,18+ (R),200,https://reelgood.com/movie/flawless-1999,61,,Flawless,HBO Max,,1999
"drama,history",7.9,movie,18+ (R),200,https://reelgood.com/movie/sometimes-in-april-2005,61,,Sometimes in April,HBO Max,,2005
"comedy,drama,fantasy",5.7,movie,7+ (PG),200,https://reelgood.com/movie/michael-1996,61,,Michael,HBO Max,,1996
"comedy,drama,food,romance",6.1,movie,18+ (R),200,https://reelgood.com/movie/dinner-with-friends-2001,61,,Dinner with Friends,HBO Max,,2001
"documentary,biography,musical",7.4,movie,16+,200,https://reelgood.com/movie/mavis-2016,61,,Mavis!,HBO Max,,2015
"comedy,drama,romance",5.7,movie,18+ (R),200,https://reelgood.com/movie/how-stella-got-her-groove-back-1998,61,,How Stella Got Her Groove Back,HBO Max,,1998
"comedy,crime,thriller,mystery",6.1,movie,18+ (R),200,https://reelgood.com/movie/birthday-girl-2001,61,,Birthday Girl,HBO Max,,2001
"comedy,independent,drama,romance",6,movie,18+ (R),200,https://reelgood.com/movie/shes-the-one-1996,61,,She's the One,HBO Max,,1996
"action-and-adventure,crime,science-fiction,thriller,mystery",5.6,movie,18+ (R),200,https://reelgood.com/movie/judge-dredd-1995,61,,Judge Dredd,HBO Max,,1995
"animation,action-and-adventure,fantasy,science-fiction,family",7,movie,13+ (PG-13),200,https://reelgood.com/movie/justice-league-the-new-frontier-2008,61,,Justice League: The New Frontier,HBO Max,,2008
"animation,comedy,science-fiction",7.9,show,14+ (TV-14),200,https://reelgood.com/show/space-ghost-coast-to-coast-1994,62,10,Space Ghost Coast to Coast,HBO Max,2008,1994
"comedy,romance",6.7,movie,13+ (PG-13),200,https://reelgood.com/movie/grumpier-old-men-1995,62,,Grumpier Old Men,HBO Max,,1995
"comedy,crime,drama,thriller,mystery",6.6,movie,18+ (R),200,https://reelgood.com/movie/trouble-in-mind-1985,62,,Trouble in Mind,HBO Max,,1985
"action-and-adventure,fantasy,mystery,thriller,documentary,sport",6.3,movie,18+ (R),200,https://reelgood.com/movie/the-warriors-way-2010,62,,The Warrior's Way,HBO Max,,2010
"comedy,drama",6.1,movie,18+ (R),200,https://reelgood.com/movie/shes-funny-that-way-2014,62,,She's Funny That Way,HBO Max,,2015
comedy,7.2,show,18+ (TV-MA),200,https://reelgood.com/show/a-black-lady-sketch-show-2019,62,1,A Black Lady Sketch Show,HBO Max,2020,2019
horror,5.5,movie,18+ (R),200,https://reelgood.com/movie/a-nightmare-on-elm-street-part-2-freddys-revenge-1985,62,,A Nightmare on Elm Street Part 2: Freddy's Revenge,HBO Max,,1985
"children,comedy,action-and-adventure,drama,family,romance",6.1,movie,7+ (PG),200,https://reelgood.com/movie/the-wizard-1989,62,,The Wizard,HBO Max,,1989
"action-and-adventure,comedy,crime,drama,family",6.1,movie,7+ (PG),200,https://reelgood.com/movie/babys-day-out-1994,62,,Baby's Day Out,HBO Max,,1994
"horror,mystery,thriller",5.6,movie,18+ (R),200,https://reelgood.com/movie/thir13en-ghosts-2001,62,,Thir13en Ghosts,HBO Max,,2001
